Row,Namn,Utv. 1 år,Utv. 3 år,Utv. 5 år,Total avgift,Risk,Antal ägare ▼
27,AMF Aktiefond Europa,"14,03","42,67","70,18","0,52",4,59 059
28,Finserve Global Security Fund I SEK R,"44,37","113,39","184,95","2,01",4,57 995
29,TIN Ny Teknik A,"-25,38","-18,09","-46,32","1,62",5,54 579
30,Öhman Emerging Markets A,"14,80","34,77","25,39","1,02",4,52 824
31,Handelsbanken USA Index (A1 SEK),"-1,64","64,76","107,66","0,22",4,51 337
32,Storebrand Emerging Markets A SEK,"10,76","39,82","42,67","0,44",4,50 795
33,Avanza World Tech by TIN,"-3,49","35,08","11,09","1,35",5,48 214
34,Nordea Global Passive A growth SEK,"0,24","57,52","99,17","0,20",4,46 832
35,Kavaljer Investmentbolagsfond A,"4,03","33,76","50,43","0,61",4,46 088
36,Aktiespararna Direktavkastning A,"21,13","40,14","65,53","0,35",4,45 628
37,PLUS Allabolag Sverige Index,"11,50","43,82","56,73","0,22",4,45 568
38,Handelsbanken Global Index (A1 SEK),"1,37","52,68","81,95","0,43",4,45 083
39,Avanza Auto 3,"2,18","28,00","30,20","0,40",3,43 366
40,Avanza Småbolag by Skoglund,"1,08","13,77","10,76","1,22",5,39 721
41,Swedbank Robur Access Global A,"2,52","58,80","97,46","0,25",4,38 698
42,Storebrand Global All Countries A SEK,"2,62","52,30","84,34","0,32",4,36 937
43,Länsförsäkringar Fastighetsfond A,"-7,44","7,39","-7,26","1,45",5,36 634
44,Avanza Disruptive Innovation by ARK Invest,"20,58",#N/A,#N/A,"0,77",6,36 610
45,Avanza Auto 2,"2,44","21,21","19,64","0,38",3,35 233
46,Avanza Auto 4,"1,44","31,55","40,35","0,40",4,33 124
47,DNB Teknologi S,"14,40","116,82","159,96","1,43",4,32 896
48,Avanza Sweden All Cap A,"6,48","21,27",#N/A,"0,17",4,32 831
49,Danske Invest Global Index SA,"0,81","56,86","96,53","0,51",4,32 188
50,Swedbank Robur Access USA A,"0,14","65,77","107,96","0,21",4,32 024
51,Spiltan Småbolagsfond,"-6,49","34,32","17,80","1,53",5,31 796
52,Länsförsäkringar Europa Index,"9,90","38,32","72,67","0,33",4,31 694
53,AuAg Silver Bullet A,"160,85","228,32","179,12","1,46",6,30 867
54,Storebrand Emerging Markets Plus A SEK,"9,35","38,31","42,52","0,54",4,30 854
55,AMF Aktiefond Nordamerika,"-0,46","65,35","124,61","0,49",4,30 173
